date,portfolio_value,seed,agent,uncertainty
2023-05-17,959531.359219945,7,ppo_with_uncertainty_guard,0.310275
2023-05-18,967600.8922849395,7,ppo_with_uncertainty_guard,0.26632997
2023-05-19,966364.1456792415,7,ppo_with_uncertainty_guard,0.21093611
2023-05-22,966704.3769967005,7,ppo_with_uncertainty_guard,0.20411307
2023-05-23,957321.9120598821,7,ppo_with_uncertainty_guard,0.20862322
2023-05-24,951404.0456467901,7,ppo_with_uncertainty_guard,0.27199656
2023-05-25,958427.3379812303,7,ppo_with_uncertainty_guard,0.33444476
2023-05-26,968977.573786282,7,ppo_with_uncertainty_guard,0.3201048
2023-05-30,969278.341747409,7,ppo_with_uncertainty_guard,0.25696275
2023-05-31,964679.0653822514,7,ppo_with_uncertainty_guard,0.23452765
2023-06-01,972382.44557738,7,ppo_with_uncertainty_guard,0.255575
2023-06-02,984059.89411178,7,ppo_with_uncertainty_guard,0.22585429
2023-06-05,982500.1819243196,7,ppo_with_uncertainty_guard,0.15889595
2023-06-06,984246.2856913006,7,ppo_with_uncertainty_guard,0.15658306
2023-06-07,981395.7811757963,7,ppo_with_uncertainty_guard,0.15958983
2023-06-08,986408.0257990195,7,ppo_with_uncertainty_guard,0.19289553
2023-06-09,987917.5364180607,7,ppo_with_uncertainty_guard,0.19208601
2023-06-12,995715.2251712353,7,ppo_with_uncertainty_guard,0.19786826
2023-06-13,1001364.3683096915,7,ppo_with_uncertainty_guard,0.17138559
2023-06-14,1002395.3665975532,7,ppo_with_uncertainty_guard,0.14640632
2023-06-15,1013145.1169304268,7,ppo_with_uncertainty_guard,0.14779405
2023-06-16,1010102.0679067356,7,ppo_with_uncertainty_guard,0.10963127
2023-06-20,1005486.1469562912,7,ppo_with_uncertainty_guard,0.13206635
2023-06-21,1000996.8905156971,7,ppo_with_uncertainty_guard,0.18248749
2023-06-22,1004093.2219881034,7,ppo_with_uncertainty_guard,0.24100377
2023-06-23,997614.098071706,7,ppo_with_uncertainty_guard,0.25719404
2023-06-26,994157.5297503152,7,ppo_with_uncertainty_guard,0.30576485
2023-06-27,1003373.7356084315,7,ppo_with_uncertainty_guard,0.34450585
2023-06-28,1003797.5033629988,7,ppo_with_uncertainty_guard,0.3081934
2023-06-29,1007143.5984262205,7,ppo_with_uncertainty_guard,0.29223442
2023-06-30,1017345.4998654705,7,ppo_with_uncertainty_guard,0.26748642
2023-07-03,1018347.040229124,7,ppo_with_uncertainty_guard,0.20827629
2023-07-05,1017037.0867786863,7,ppo_with_uncertainty_guard,0.18942618
2023-07-06,1010156.3881037888,7,ppo_with_uncertainty_guard,0.19902469
2023-07-07,1007972.6450909688,7,ppo_with_uncertainty_guard,0.24979277
2023-07-10,1010119.8262170868,7,ppo_with_uncertainty_guard,0.28830248
2023-07-11,1015580.7023712506,7,ppo_with_uncertainty_guard,0.29651326
2023-07-12,1022439.692747312,7,ppo_with_uncertainty_guard,0.2736156
2023-07-13,1029193.8816606005,7,ppo_with_uncertainty_guard,0.23198347
2023-07-14,1028654.0465989482,7,ppo_with_uncertainty_guard,0.18676636
2023-07-17,1031617.6831628698,7,ppo_with_uncertainty_guard,0.18306571
2023-07-18,1037967.00888456,7,ppo_with_uncertainty_guard,0.17797734
