agent,annualized_return,annualized_volatility,capital_preservation_rate_95pct_hwm,drawdown_floor,fast_window,final_portfolio_value,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,slow_window,ticker,var_95,var_95_violation_rate
stop_loss_5pct,0.20055919719388451,0.24649265214250746,0.9262942294406223,0.05,20,2066946.4114389142,0.2889506557293503,False,-1,0.7415528479477436,50,SLV,-0.023609854479609282,0.04995004995004995
stop_loss_10pct,0.34503048540253495,0.26856793119195166,0.9699100209926345,0.1,20,3246030.6695761867,0.21225186698962573,True,-1,1.1036928422629422,50,SLV,-0.023702865285168073,0.04995004995004995
stop_loss_5pct,-0.05235910328878005,0.22507828506416053,0.6440237336191543,0.05,20,807651.4247457389,0.3559762663808457,False,-1,-0.23893736120472378,50,SNY,-0.019156930167822495,0.04995004995004995
stop_loss_10pct,-0.020039158431227323,0.23287493385079686,0.7393184335678363,0.1,20,922739.4535320692,0.2804008152372701,False,-1,-0.08692499259188045,50,SNY,-0.020521045808601812,0.04995004995004995
stop_loss_5pct,0.42820856359675663,0.31595353189685815,0.7935089711250143,0.05,20,4119711.118519268,0.25451306122692585,False,-1,1.128079578584602,50,SPOT,-0.026303754834641424,0.04995004995004995
stop_loss_10pct,0.4222720095713222,0.32886477977694395,0.7990996068370733,0.1,20,4052109.140751879,0.35324290341190756,False,-1,1.0711254331020081,50,SPOT,-0.026883855299987047,0.04995004995004995
stop_loss_5pct,0.054187224751358586,0.12453553081256626,0.9905297386614301,0.05,20,1233202.4855425667,0.25228659906520323,True,-1,0.42373449027530014,50,SPY,-0.013954157397648714,0.04995004995004995
stop_loss_10pct,0.05589642005706163,0.1331584752459477,0.9951186923772686,0.1,20,1241163.861876152,0.29947399757599347,True,-1,0.40846088440429373,50,SPY,-0.014456089502019154,0.04995004995004995
stop_loss_5pct,0.06810610323860473,0.1570981223497808,0.975908735171372,0.05,20,1299160.3043809086,0.30499334687698876,True,-1,0.41940040811307594,50,SPYG,-0.016778940923941832,0.04995004995004995
stop_loss_10pct,0.05123307908332971,0.16419387205907812,0.984027957683551,0.1,20,1219532.3436450406,0.39428437783754033,True,-1,0.30429751881930955,50,SPYG,-0.017696166778378597,0.04995004995004995
stop_loss_5pct,0.010510348311545981,0.11504570537334241,0.9581212866077935,0.05,20,1042406.0636842229,0.18249410095840268,True,-1,0.09088113399418735,50,SPYV,-0.011733120890182747,0.04995004995004995
stop_loss_10pct,0.03073885150515608,0.12613461634664855,0.9970368108080655,0.1,20,1127792.8696178521,0.19757941979851057,True,-1,0.24002799084249826,50,SPYV,-0.01353051013846951,0.04995004995004995
stop_loss_5pct,0.053861368779235766,0.12570938429328618,0.9884503297260151,0.05,20,1231689.006684733,0.2593554700476163,True,-1,0.4173184591089796,50,SPYX,-0.014074040746253402,0.04995004995004995
stop_loss_10pct,0.03882071542229088,0.12629733620578318,0.9942014118868269,0.1,20,1163330.0448586273,0.2778072770708191,True,-1,0.3015589684289285,50,SPYX,-0.014214744113251854,0.04995004995004995
stop_loss_5pct,-0.12649211724253728,0.27037228678002223,0.5782391478828761,0.05,20,584384.6382199043,0.5967631030615884,False,-1,-0.5001919661233664,50,TAN,-0.03015531188632181,0.04995004995004995
stop_loss_10pct,-0.17949727917555316,0.2931705672583828,0.45572910765715596,0.1,20,455729.10765715595,0.7021994930384048,False,-1,-0.6748219888726057,50,TAN,-0.03304832197548713,0.04995004995004995
stop_loss_5pct,0.02083906941877726,0.18898003717354286,0.720431462257419,0.05,20,1085376.2605310024,0.27956853774258095,False,-1,0.10913792373411549,50,TMUS,-0.020050208424477134,0.04995004995004995
stop_loss_10pct,0.0817967884207993,0.2009226431270756,0.8086680864541788,0.1,20,1366577.4806678873,0.21280955609848629,False,-1,0.3913112448245643,50,TMUS,-0.020355210214328068,0.04995004995004995
stop_loss_5pct,-0.08492827284496986,0.4016055309348745,0.7028962713418747,0.05,20,702896.2713418747,0.5819745468495754,False,-1,-0.220994942866322,50,TSLA,-0.041702079445629536,0.04995004995004995
stop_loss_10pct,0.10055531604082142,0.43103648859884447,0.9276353150696334,0.1,20,1463159.3207538857,0.5092127347052511,False,-1,0.22228941732434143,50,TSLA,-0.04258906976846255,0.04995004995004995
stop_loss_5pct,0.18124761712953924,0.2793847456824381,0.8786667695964455,0.05,20,1938002.4022558837,0.25498920302984307,False,-1,0.5962068098140976,50,TSM,-0.025928881156296768,0.04995004995004995
stop_loss_10pct,0.18011590101810152,0.2841804471058699,0.9015513030544899,0.1,20,1930637.5166866947,0.3331990701781553,False,-1,0.5827725448049434,50,TSM,-0.02688746713936041,0.04995004995004995
stop_loss_5pct,-0.024364617057983002,0.16192322883789428,0.7762373418774604,0.05,20,906666.8506680736,0.2924144890996868,False,-1,-0.152333432421241,50,V,-0.015624009259276761,0.04995004995004995
stop_loss_10pct,0.02412550478217021,0.18724527387865825,0.8415131316571354,0.1,20,1099322.5569312123,0.2894857308751744,False,-1,0.1273146267807491,50,V,-0.016618518284451156,0.04995004995004995
stop_loss_5pct,0.05525661707226751,0.12421311316667047,0.9906039428292159,0.05,20,1238179.1905907341,0.25185836712813914,True,-1,0.4329970175772269,50,VOO,-0.013950585609055821,0.04995004995004995
stop_loss_10pct,0.056461353375201896,0.13286673055538512,0.9950853017170292,0.1,20,1243803.7396907392,0.29950248975424787,True,-1,0.41338348351141735,50,VOO,-0.014443250111826345,0.04995004995004995
stop_loss_5pct,0.04833039488782465,0.1279041391692936,0.9891027657477948,0.05,20,1206211.0901861181,0.2695151596910772,True,-1,0.3690165168904266,50,VTI,-0.01451867137729046,0.04995004995004995
stop_loss_10pct,0.03131086889094283,0.1280635439215564,0.9940272400439363,0.1,20,1130281.0486305626,0.2867608692879373,True,-1,0.2407448844754673,50,VTI,-0.014727132508260965,0.04995004995004995
stop_loss_5pct,0.007462711453019509,0.11384966831478002,0.9845604406977617,0.05,20,1029973.9234577698,0.22596104532483252,True,-1,0.0653053533855993,50,VYM,-0.011844036191780205,0.04995004995004995
stop_loss_10pct,0.029694484580429035,0.12739029521169215,0.9845604406977617,0.1,20,1123260.624975423,0.21616587911663077,True,-1,0.22970434927386582,50,VYM,-0.013041990012442994,0.04995004995004995
stop_loss_5pct,0.07553467926250922,0.11910193750095617,1.0,0.05,20,1335424.1224489217,0.20198243512883263,True,-1,0.6113906999325859,50,VYMI,-0.012429159497978404,0.04995004995004995
stop_loss_10pct,0.07773914552640618,0.13543084664262245,1.0,0.1,20,1346329.8444261812,0.2872573709716074,True,-1,0.5527941180044542,50,VYMI,-0.013340366782736979,0.04995004995004995
stop_loss_5pct,0.05736102455304612,0.13304729620709366,0.9349777221025376,0.05,20,1248016.4846905244,0.16939628823683794,False,-1,0.41922037862177264,50,XLF,-0.013761042366834175,0.04995004995004995
