agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,test_window,ticker,timesteps,train_window,var_95,var_95_violation_rate
ppo_with_uncertainty_guard,0.1526753349790579,0.23370157372029252,0,1.0,1310063.280883224,wf_2022_2023,0.23024053745582906,True,19,0.6079784573719943,2022-01-01/2023-12-31,XLK,10000,2009-01-01/2021-12-31,-0.022361488920277315,0.05010438413361169
ppo_standalone,-0.012096528974279422,0.022577609363419925,0,0.9721605272361202,977132.3161790649,wf_2022_2023,0.03281916784035577,True,42,-0.5390385506595331,2022-01-01/2023-12-31,XLK,10000,2009-01-01/2021-12-31,0.0,0.029227557411273485
ppo_with_uncertainty_guard,0.13450551484576714,0.22669751664759938,0,1.0,1271089.288280607,wf_2022_2023,0.23441860264578795,True,42,0.5566748139067829,2022-01-01/2023-12-31,XLK,10000,2009-01-01/2021-12-31,-0.022592729637598372,0.05010438413361169
ppo_standalone,0.00759025136751512,0.010785667042660199,0,0.994715373866743,1014476.811472556,wf_2024_2025,0.01228215031607538,True,7,0.7010673541934999,2024-01-01/2025-12-31,XLK,10000,2009-01-01/2023-12-31,0.0,0.020876826722338204
ppo_with_uncertainty_guard,0.08696141327794259,0.11359809078053766,0,0.9735712157482277,1171751.674438771,wf_2024_2025,0.12663643705437422,True,7,0.734043961881902,2024-01-01/2025-12-31,XLK,10000,2009-01-01/2023-12-31,-0.013152448322273714,0.05010438413361169
ppo_standalone,0.009457115371564252,0.013835510508998965,0,0.9969779395129438,1018052.5690338205,wf_2024_2025,0.014945010359551314,True,19,0.6803195882450138,2024-01-01/2025-12-31,XLK,10000,2009-01-01/2023-12-31,0.0,0.031315240083507306
ppo_with_uncertainty_guard,0.20608799220820476,0.23711447133590655,0,0.960733887336493,1427856.8667113497,wf_2024_2025,0.25515313294191433,True,19,0.7902593678399998,2024-01-01/2025-12-31,XLK,10000,2009-01-01/2023-12-31,-0.02453385790968472,0.05010438413361169
ppo_standalone,0.009614067153537765,0.012944400664450281,0,0.9930099220546833,1018353.4633373151,wf_2024_2025,0.014998887659609994,True,42,0.7391635202094781,2024-01-01/2025-12-31,XLK,10000,2009-01-01/2023-12-31,0.0,0.027139874739039668
ppo_with_uncertainty_guard,0.17594541557477197,0.19908471242895687,0,0.9656699689430204,1360791.1407469115,wf_2024_2025,0.20273258718346554,True,42,0.8140871383941355,2024-01-01/2025-12-31,XLK,10000,2009-01-01/2023-12-31,-0.021091124396259885,0.05010438413361169
ppo_standalone,-0.01014272493742522,0.017105706408570752,0,0.9766801295073112,980769.1975632121,wf_2018_2019,0.030776134022003854,True,7,-0.5959659308895,2018-01-01/2019-12-31,XLF,10000,2009-01-01/2017-12-31,0.0,0.008333333333333333
