date,baseline_value,prob_value,uncertainty_aleatoric,uncertainty_epistemic
2022-10-06,997943.0162297995,843527.4373349183,0.31770974,0.24113894
2022-10-07,997943.0162297995,820238.4537745035,0.29544106,0.4280527
2022-10-10,997943.0162297995,814045.416829837,0.3798735,0.5805632
2022-10-11,997943.0162297995,808946.6014183927,0.4462444,0.57504845
2022-10-12,997943.0162297995,806307.716821506,0.4949889,0.67887515
2022-10-13,997943.0162297995,827350.4972608266,0.5282106,0.39338645
2022-10-14,997943.0162297995,808702.8616859711,0.44356054,0.54293656
2022-10-17,997943.0162297995,829246.6933648699,0.47184977,0.50675905
2022-10-18,997943.0162297995,838881.4624538749,0.38241228,0.62373894
2022-10-19,997943.0162297995,832997.6897913839,0.29587626,0.6122457
2022-10-20,997943.0162297995,826079.661879932,0.26882017,0.29022
2022-10-21,997943.0162297995,845960.340014558,0.28165913,0.53988844
2022-10-24,997943.0162297995,856220.5198309217,0.20890504,0.2259751
2022-10-25,997943.0162297995,869778.7734456904,0.1426067,0.76082927
2022-10-26,997943.0162297995,863280.0914520245,0.062381368,0.44386786
2022-10-27,997943.0162297995,858711.7330776609,0.06354195,0.4462291
2022-10-28,997943.0162297995,878958.5549399867,0.08951001,0.42347336
2022-10-31,997943.0162297995,872662.6102825411,0.041418325,0.39810005
2022-11-01,997943.0162297995,868876.3902079788,0.07007023,0.40748176
2022-11-02,997943.0162297995,847251.9619963976,0.11301182,0.42632502
2022-11-03,997943.0162297995,838605.8821227785,0.23414773,0.5556382
2022-11-04,997943.0162297995,850568.83438053,0.3378749,0.29224727
2022-11-07,997943.0162297995,858631.9025078081,0.34759477,0.359467
2022-11-08,997943.0162297995,863222.1113358709,0.3267768,0.41293323
2022-11-09,997943.0162297995,845609.7198954887,0.2949333,0.44158983
2022-11-10,997943.0162297995,891648.2669260637,0.34759477,0.47778842
2022-11-11,997943.0162297995,900201.1291475696,0.19301955,0.46220183
2022-11-14,997943.0162297995,892604.8514854327,0.092629075,0.5514472
2022-11-15,997943.0162297995,900157.9055967393,0.07674359,0.31808546
2022-11-16,997943.0162297995,893343.9376498631,0.049542412,0.36592934
2022-11-17,997943.0162297995,890631.2495166166,0.08044295,0.601244
2022-11-18,997943.0162297995,894645.278533309,0.12142605,0.35648993
2022-11-21,997943.0162297995,891414.879529919,0.14848216,0.82391024
2022-11-22,997943.0162297995,903318.709155885,0.18903005,0.32245508
2022-11-23,997943.0162297995,908970.4664832294,0.17495798,0.5339776
2022-11-25,997943.0162297995,908768.5937005766,0.1565337,0.5981903
2022-11-28,997943.0162297995,894365.2978119281,0.15638864,0.7041419
2022-11-29,997943.0162297995,892838.2630664016,0.22377501,0.4415843
2022-11-30,997943.0162297995,920799.240269542,0.2670793,0.40610805
2022-12-01,997943.0162297995,920125.285953655,0.1941076,0.1876949
2022-12-02,997943.0162297995,919069.3739239776,0.16842969,0.78709584
2022-12-05,997943.0162297995,902630.4287120235,0.16219155,0.5720603
2022-12-06,997943.0162297995,889693.6061126239,0.23298715,0.41853452
2022-12-07,997943.0162297995,888189.0505198641,0.32445565,0.34315473
2022-12-08,997943.0162297995,895104.0730279146,0.38255736,0.5872951
2022-12-09,997943.0162297995,888456.4434102587,0.38473344,0.5067413
2022-12-12,997943.0162297995,901194.1848054101,0.4188256,0.35534927
2022-12-13,997943.0162297995,907978.589668172,0.37501356,0.4015132
2022-12-14,997943.0162297995,902206.7081188019,0.32322252,0.51279527
2022-12-15,997943.0162297995,880256.4198198317,0.31596887,0.6022848
2022-12-16,997943.0162297995,869919.5499188937,0.39068145,0.51903015
2022-12-19,997943.0162297995,862582.8015823747,0.4648137,0.62949
2022-12-20,997943.0162297995,863756.6260809402,0.53009653,0.44400656
2022-12-21,997943.0162297995,876601.2894477203,0.5485208,0.60276747
2022-12-22,997943.0162297995,864163.1459266903,0.49767274,0.54267466
2022-12-23,997943.0162297995,869106.7815665827,0.50790036,0.7007243
