agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,test_window,ticker,timesteps,train_window,var_95,var_95_violation_rate
ppo_standalone,0.013890886817086336,0.011107484888931953,16,0.9988984740107093,cpu,1026737.4332480994,wf_2020_2021,0.0037600762520773046,True,7,1.2419639254064958,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,0.0,0.014522821576763486
ppo_with_uncertainty_guard,0.162733809001511,0.13942741434730005,16,0.9976691777940627,cpu,1334271.0625311704,wf_2020_2021,0.14856355218587303,True,7,1.0813783883275097,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,-0.013062156920388012,0.05186721991701245
ppo_standalone,0.0010508056852403863,0.017141692356294414,16,0.9689269327364392,cpu,1002010.838140528,wf_2020_2021,0.031331675075189525,True,13,0.06126841081483836,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,0.0,0.02074688796680498
ppo_with_uncertainty_guard,0.2964546820754942,0.21501168204886623,16,0.9959283194449227,cpu,1643125.691323989,wf_2020_2021,0.19269430302387214,True,13,1.207530573097648,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,-0.021306222382817274,0.05186721991701245
ppo_standalone,-0.015488048280383667,0.03433178592359556,16,0.937697640757706,cpu,970585.5103673676,wf_2020_2021,0.06356381988200477,False,19,-0.45465647924711605,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,0.0,0.03319502074688797
ppo_with_uncertainty_guard,0.40478553214389223,0.25687669970507204,16,0.995641314169473,cpu,1915726.3024576993,wf_2020_2021,0.2098945867267611,True,19,1.3231423298456646,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,-0.025469922834008063,0.05186721991701245
ppo_standalone,0.0025734546378466602,0.014618622065270585,16,0.9753006788672186,cpu,1004928.0228204416,wf_2020_2021,0.024823737480007768,True,23,0.17581144466877133,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,0.0,0.02074688796680498
ppo_with_uncertainty_guard,0.3621219615888905,0.24135441563439483,16,0.9956848162271792,cpu,1805987.4202734744,wf_2020_2021,0.20927596301270535,True,23,1.280455323734972,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,-0.02399918506694254,0.05186721991701245
ppo_standalone,0.18567655127689747,0.15496167953455425,16,0.9974212091949108,cpu,1385080.7477486057,wf_2020_2021,0.1614266582851066,True,29,1.0990676343758825,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,-0.014374923153469332,0.05186721991701245
ppo_with_uncertainty_guard,0.12538752146497126,0.12791102760485404,16,0.9961720270419604,cpu,1253503.168993983,wf_2020_2021,0.12771113204712525,True,29,0.9235114084838233,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,-0.013651684332437065,0.05186721991701245
ppo_standalone,0.0073645604419506966,0.013410524822962998,16,0.9838498418839644,cpu,1014133.5139454231,wf_2020_2021,0.016150158116035596,True,37,0.5471439574013023,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,0.0,0.02074688796680498
ppo_with_uncertainty_guard,0.29068095169580227,0.20091330007333244,16,0.99647393050808,cpu,1629157.737345392,wf_2020_2021,0.17345949791952398,True,37,1.2700490556072017,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,-0.0198581161680929,0.05186721991701245
ppo_standalone,0.01108004569012942,0.11379094055144097,16,0.9828439352976799,cpu,1021299.9099235928,wf_2020_2021,0.1600536698365379,True,42,0.0968363232272578,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,-0.005769581831590642,0.05186721991701245
ppo_with_uncertainty_guard,0.3968270555721415,0.2789225426126573,16,0.9956413141692654,cpu,1895021.29275693,wf_2020_2021,0.2475793673257194,True,42,1.1981931695448693,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,-0.025672019135758985,0.05186721991701245
ppo_standalone,0.013705347932007296,0.010975331213026913,16,0.999454953538677,cpu,1026378.0868081284,wf_2020_2021,0.003190245580839579,True,53,1.2402434059697145,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,0.0,0.012448132780082987
ppo_with_uncertainty_guard,0.40573559917074686,0.2717514295501785,16,0.9956413141691716,cpu,1918205.1978110932,wf_2020_2021,0.2322329684186587,True,53,1.2532060108351555,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,-0.025674595494995334,0.05186721991701245
ppo_standalone,0.009863578292348444,0.010061628766690702,16,0.9940812131016171,cpu,1018950.9467814387,wf_2020_2021,0.005918786898382877,True,67,0.9754977156000935,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,0.0,0.01867219917012448
ppo_with_uncertainty_guard,0.3624696950974345,0.2144738106239185,16,0.9956413233462447,cpu,1806869.3670107033,wf_2020_2021,0.1380455239763987,True,67,1.4421284134739805,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,-0.02228232861950623,0.05186721991701245
ppo_standalone,-0.002553032321835015,0.01982849754712755,16,0.9631826005482006,cpu,995122.5088218385,wf_2020_2021,0.03976119266141376,True,89,-0.12891931902449774,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,0.0,0.024896265560165973
ppo_with_uncertainty_guard,0.39088272264438895,0.27976898230655745,16,0.9956413141694918,cpu,1879626.3975478753,wf_2020_2021,0.2508812944716319,True,89,1.1793244837660524,2020-01-01/2021-12-31,XLK,50000,2009-01-01/2019-12-31,-0.025947590684569023,0.05186721991701245
ppo_standalone,-0.01638497080999586,0.025009548967132943,16,0.9643963034872604,cpu,969085.5145098793,wf_2022_2023,0.03996723517696743,True,7,-0.6605710537911704,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,0.0,0.033402922755741124
ppo_with_uncertainty_guard,0.059773652518144045,0.153731547920402,16,1.0,cpu,1116670.2215060124,wf_2022_2023,0.16685934304466632,True,7,0.3776407041921504,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,-0.0154398814075817,0.05010438413361169
ppo_standalone,-0.011970468319201798,0.020704352367473814,16,0.9734367025239776,cpu,977369.3325569049,wf_2022_2023,0.033874755819289115,True,13,-0.5816457703507831,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,0.0,0.027139874739039668
ppo_with_uncertainty_guard,0.11808758836816255,0.21040064564802988,16,1.0,cpu,1236353.1600976752,wf_2022_2023,0.22591915081483793,True,13,0.5305099274023299,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,-0.020475205043325315,0.05010438413361169
ppo_standalone,-0.007683712584510009,0.014338820706823074,16,0.9814564211672705,cpu,985445.4051132931,wf_2022_2023,0.0185435788327295,True,19,-0.5379311980156037,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,0.0,0.022964509394572025
ppo_with_uncertainty_guard,0.1289087121981553,0.2481111911334968,16,1.0,cpu,1259196.649898587,wf_2022_2023,0.2622145386621856,True,19,0.48869761394362643,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,-0.0240512792050815,0.05010438413361169
ppo_standalone,-0.010018762856039396,0.015246138500989286,16,0.9775155659750355,cpu,981042.3604292689,wf_2022_2023,0.024304294255841574,True,23,-0.6604415649534003,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,0.0,0.022964509394572025
ppo_with_uncertainty_guard,0.1140372285660288,0.20242465464534304,16,1.0,cpu,1227853.8037921274,wf_2022_2023,0.20511160442818466,True,23,0.5334847934818373,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,-0.019633214971369384,0.05010438413361169
ppo_standalone,-0.011995881725351064,0.019205963892366323,16,0.9734454113112683,cpu,977321.5486560238,wf_2022_2023,0.0295591956832163,True,29,-0.6283627974575373,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,0.0,0.025052192066805846
ppo_with_uncertainty_guard,0.16709519629800473,0.16668470248371836,16,1.0,cpu,1341390.3999492414,wf_2022_2023,0.12997108954227643,True,29,0.927006342138805,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,-0.01624572262847419,0.05010438413361169
ppo_standalone,-0.010491480183433408,0.019481837256599906,16,0.9761845697541295,cpu,980152.1270425855,wf_2022_2023,0.0296738852055054,True,37,-0.5413666932155182,2022-01-01/2023-12-31,XLK,50000,2009-01-01/2021-12-31,0.0,0.03549060542797495
